Instance,NU,NC,Fed,Adult,↓V,Users,BI,BB,UT,MO,Version
[Lemmy.World](https://lemmy.world),Yes,Yes,Yes,Yes,Yes,16267,173,0,99%,18,0.19.3-7-g527ab90b7
[Lemmy NSFW](https://lemmynsfw.com),Yes,Yes,Yes,Yes,No,3185,177,5,99%,18,0.19.3-1-gd05f00d4c
[SDF Chatter](https://lemmy.sdf.org),Yes,Yes,Yes,Yes,Yes,496,0,0,99%,18,0.19.3
[Lemmings.world](https://lemmings.world),Yes,Yes,Yes,Yes,Yes,225,97,0,98%,17,0.19.3
[Lemdro.id](https://lemdro.id),Yes,No,Yes,Yes,Yes,125,0,0,98%,17,0.19.3
[awful.systems](https://awful.systems),Yes,No,Yes,Yes,Yes,102,21,0,100%,16,0.19.3
[Yiffit.net](https://yiffit.net),Yes,No,Yes,Yes,Yes,37,0,1,100%,18,0.19.2
[KDE Social](https://lemmy.kde.social),Yes,No,Yes,No,Yes,25,0,0,99%,17,0.19.3
[monyet.cc](https://monyet.cc),Yes,Yes,Yes,Yes,Yes,23,1,0,100%,17,0.19.3
[dormi.zone](https://dormi.zone),Yes,No,Yes,No,No,21,149,0,100%,18,0.19.3
[正在发声](https://fasheng.ing),Yes,Yes,Yes,Yes,Yes,13,0,1,99%,4,0.19.3
[lemmy.studio](https://lemmy.studio),Yes,Yes,Yes,Yes,Yes,12,3,0,??,??,0.19.3
[BlendIT - BSD Cafe](https://blendit.bsd.cafe),Yes,No,Yes,Yes,Yes,6,0,0,100%,13,0.19.3
[info.prou.be](https://info.prou.be),Yes,Yes,Yes,Yes,Yes,4,0,0,98%,34,0.19.2
[Ayom Fórum](https://forum.ayom.media),Yes,No,No,Yes,Yes,4,0,0,100%,11,0.19.1
[Fanaticus](https://fanaticus.social),Yes,Yes,Yes,Yes,Yes,4,1,0,100%,17,0.19.3
[ZeroBytes](https://zerobytes.monster),Yes,Yes,Yes,Yes,Yes,3,0,2,??,??,0.19.3
[Preserve Games](https://preserve.games),Yes,No,Yes,Yes,Yes,3,0,0,92%,17,0.19.3
[Baraza](https://baraza.africa),Yes,Yes,No,Yes,Yes,3,0,0,98%,48,0.19.3
[DubVee](https://dubvee.org),Yes,No,Yes,Yes,Yes,3,650,0,95%,18,0.19.3
[九尾論壇](https://bbs.9tail.net),Yes,Yes,Yes,Yes,Yes,2,1,2,96%,25,0.19.3
[Linkage @ DS8](https://linkage.ds8.zone),Yes,Yes,Yes,Yes,Yes,2,0,0,99%,24,0.19.3
[Dorm Room](https://lemmy.dormedas.com),Yes,Yes,Yes,Yes,Yes,2,0,0,??,??,0.19.1
[Lemmy.fosshost.com](https://lemmy.fosshost.com),Yes,Yes,Yes,Yes,Yes,2,0,0,100%,17,0.19.3
[Diagon Lemmy](https://diagonlemmy.social),Yes,Yes,Yes,No,Yes,1,130,0,100%,10,0.19.3
[federate.cc](https://lemmy.federate.cc),Yes,Yes,Yes,No,Yes,1,46,0,97%,17,0.19.3
[rocketsfall](https://social.rocketsfall.net),Yes,No,Yes,Yes,Yes,1,4,0,99%,17,0.19.3
[halubilo.social](https://halubilo.social),Yes,Yes,Yes,Yes,Yes,1,1,0,99%,17,0.19.3
[sammich.es](https://sammich.es),Yes,Yes,Yes,Yes,Yes,1,0,0,100%,16,0.19.3
[Ten Forward](https://lemmy-api.ten4ward.social),Yes,Yes,Yes,Yes,Yes,1,0,0,97%,15,0.19.3
[FWGX Lemmy](https://lemmy.fwgx.uk),Yes,No,Yes,Yes,Yes,1,0,0,99%,17,0.19.3
[r/sauna](https://r-sauna.fi),Yes,No,Yes,Yes,Yes,1,0,1,97%,17,0.19.1
[nowsci](https://lemmy.nowsci.com),Yes,Yes,Yes,Yes,Yes,1,173,0,??,??,0.19.3
[Lemmy@Moonling.nl](https://lemmy.moonling.nl),Yes,No,Yes,Yes,Yes,1,4,0,99%,17,0.19.3
[Åhall](https://lemmy.ahall.se),Yes,No,Yes,Yes,Yes,1,0,0,98%,17,0.19.3
[borgchat](https://borg.chat),Yes,Yes,Yes,Yes,Yes,1,2,0,98%,17,0.19.3
[Leftopia](https://leftopia.org),Yes,Yes,Yes,Yes,Yes,1,0,0,100%,7,0.19.3
[lemmy.dexlit](https://lemmy.dexlit.xyz),Yes,No,Yes,Yes,Yes,1,0,0,91%,16,0.19.3
[masto.community](https://lemmy.masto.community),Yes,Yes,Yes,Yes,Yes,1,0,0,100%,17,0.19.3
[Foxden Party](https://lemmy.foxden.party),Yes,Yes,Yes,Yes,Yes,1,3,0,99%,17,0.19.3
[Lemmy](https://lemmy.caliban.io),Yes,No,Yes,Yes,Yes,1,0,0,100%,6,0.19.3
[Tacobu.de](https://tacobu.de),Yes,Yes,Yes,Yes,Yes,1,0,0,100%,15,0.19.3
[lemmy](https://lemmy.doesnotexist.club),Yes,Yes,Yes,Yes,Yes,1,0,0,??,??,0.19.3
[Lemmy Balamb](https://lemmy.balamb.fr),Yes,No,Yes,No,No,1,0,0,95%,10,0.19.4-beta.6
[SSBA](https://lemmy.ssba.com),Yes,No,Yes,No,Yes,1,0,0,97%,17,0.19.3
[Lemmy!](https://lemmy.chiisana.net),Yes,No,Yes,Yes,Yes,1,1,0,100%,17,0.19.3
[Petecca Lemmy](https://lemmy.petecca.com),Yes,Yes,Yes,Yes,Yes,1,0,0,??,??,0.19.3
[foros.fediverso.gal](https://foros.fediverso.gal),Yes,No,Yes,No,Yes,1,0,0,97%,24,0.19.3
[social.dn42.us](https://social.dn42.us),Yes,No,Yes,Yes,Yes,1,0,0,98%,17,0.19.3
[LX Pontual](https://lx.pontual.social),Yes,Yes,Yes,Yes,Yes,1,0,0,??,??,0.19.3
[CringeCollective](https://lemmy.cringecollective.io),Yes,Yes,Yes,Yes,Yes,1,0,0,100%,5,0.19.3
[fedii.me](https://fedii.me),Yes,No,Yes,Yes,Yes,1,0,0,100%,17,0.19.3
